day,CosineSim,UsingSlope,Baseline1,Baseline2
1,1680,1560,1993,1990
2,1680,1560,1680,1582
3,1320,1320,1680,1452
4,1440,1440,1681,1795
5,2040,1920,1681,1827
6,1680,1680,1681,1718
7,1800,1560,1678,1710
8,1680,1680,1624,1607
9,1440,1560,1624,1413
10,1320,1320,1624,1425
11,1440,1440,1624,1621
12,1800,1800,1624,1657
13,1680,1680,1624,1759
14,1680,1800,1624,1724
15,1680,1560,1622,1773
16,1680,1800,1601,1460
17,1320,1320,1611,1330
18,1440,1440,1611,1582
19,1560,1560,1611,1767
20,1920,1920,1611,1825
21,1800,1680,1611,1572
22,1560,1440,1611,1468
23,1440,1440,1611,1394
24,1440,1440,1611,1466
25,1560,1560,1611,1636
26,1680,1680,1612,1750
27,1800,1800,1612,1896
28,1920,2040,1616,1792
29,1560,1560,1627,1478
30,1320,1320,1646,1490
31,1560,1560,1654,1426
32,1440,1440,1654,1348
33,1440,1440,1654,1649
34,1560,1680,1654,1579
35,1560,1560,1654,1607
36,1680,1560,1654,1632
37,1800,1680,1654,1781
38,1920,1800,1655,2007
39,1800,2040,1655,1787
40,1800,1800,1655,1738
41,1800,1800,1655,1855
42,1800,1800,1642,1734
43,1680,1560,1702,1462
44,1200,1320,1738,1406
45,1440,1440,1779,1396
46,1440,1440,1823,1343
47,1440,1320,1844,1576
48,1560,1560,1848,1690
49,1800,1680,1851,1682
50,1680,1680,1865,1695
51,1560,1680,1887,1714
52,1800,1800,0,1830
53,2040,2040,0,2264
